url,repository_url,id,number,title,user_id,user_login,labels,state,locked,assignee,assignees,created_at,updated_at,closed_at,days_open
https://api.github.com/repos/octocat/Hello-World/issues/4552,https://api.github.com/repos/octocat/Hello-World,3676966924,4552,Submission id: xyzzy,234373430,zaviersampat7,[],open,false,,[],2025-11-29T17:58:27.000Z,2025-11-29T17:58:27.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4551,https://api.github.com/repos/octocat/Hello-World,3672894526,4551,Nombre de mi ramaAñadidas nevas linbeas al archivo,86062096,emmardi76,[],open,false,,[],2025-11-27T20:12:51.000Z,2025-11-27T20:12:51.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4550,https://api.github.com/repos/octocat/Hello-World,3666047409,4550,F branch,140793688,Kamimura-cpu,[],open,false,,[],2025-11-26T06:35:07.000Z,2025-11-26T06:35:07.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4548,https://api.github.com/repos/octocat/Hello-World,3665160061,4548,Add Spanish translation to README,170687618,Miguelito1800,[],open,false,,[],2025-11-26T00:58:20.000Z,2025-11-26T00:58:20.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4546,https://api.github.com/repos/octocat/Hello-World,3662681576,4546,Add text.txt for collaboration demo,238669185,anfisafilatova521-del,[],open,false,,[],2025-11-25T11:30:53.000Z,2025-11-25T13:01:40.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4544,https://api.github.com/repos/octocat/Hello-World,3658112085,4544,Add first contribution message to README,167654894,Abhikorekar,[],open,false,,[],2025-11-24T10:10:45.000Z,2025-11-24T10:18:23.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4542,https://api.github.com/repos/octocat/Hello-World,3655826286,4542,Added contribution.txt,103324375,Dipendra1999,[],open,false,,[],2025-11-23T10:50:30.000Z,2025-11-23T10:50:30.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4541,https://api.github.com/repos/octocat/Hello-World,3655670660,4541,Added a practice line to README,221052831,Komali0706,[],open,false,,[],2025-11-23T08:47:31.000Z,2025-11-23T08:47:31.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4538,https://api.github.com/repos/octocat/Hello-World,3654952410,4538,feat(dashboard): implement user dashboard with analytics,189413786,NassreddineSamaali,[],open,false,,[],2025-11-22T18:25:46.000Z,2025-11-22T18:25:46.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4537,https://api.github.com/repos/octocat/Hello-World,3654915559,4537,Test GitHub CLI,189413786,NassreddineSamaali,[],open,false,,[],2025-11-22T17:49:25.000Z,2025-11-22T17:49:25.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4536,https://api.github.com/repos/octocat/Hello-World,3654789491,4536,✨ Ajout d'informations personnelles - TP Git/GitHub,189413786,NassreddineSamaali,[],closed,false,,[],2025-11-22T15:29:44.000Z,2025-11-22T17:00:08.000Z,2025-11-22T17:00:07.000Z,0.0627662037037037
https://api.github.com/repos/octocat/Hello-World/issues/4535,https://api.github.com/repos/octocat/Hello-World,3654773895,4535,Додано новий розділ у README та демонстраційний файлfor PR demonstration,118216476,Valeria24080,[],open,false,,[],2025-11-22T15:11:28.000Z,2025-11-22T15:11:28.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4533,https://api.github.com/repos/octocat/Hello-World,3653201652,4533,Create trendyat-syria,227122439,mralbaihas-ship-it,[],closed,false,,[],2025-11-21T21:57:11.000Z,2025-11-27T20:47:16.000Z,2025-11-27T20:47:16.000Z,5.95144675925926
https://api.github.com/repos/octocat/Hello-World/issues/4532,https://api.github.com/repos/octocat/Hello-World,3649983157,4532,alteração referente a issue #3033,131215505,jlmpinheiro,[],open,false,,[],2025-11-21T02:48:59.000Z,2025-11-21T02:48:59.000Z,,
https://api.github.com/repos/octocat/Hello-World/issues/4527,https://api.github.com/repos/octocat/Hello-World,3643989965,4527,Update README,244777826,damanyarb24-pixel,[],open,false,,[],2025-11-19T18:42:23.000Z,2025-11-19T18:42:23.000Z,,
